edge_underdog,confidence_favorite,confidence_underdog,favorite_odds_cap,underdog_odds_cap,n_bets,n_fav,n_ud,pnl,roi,accuracy,score
0.12,0.575,0.5,-400,340,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.09,0.575,0.51,-400,400,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.09,0.575,0.51,-400,380,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.09,0.575,0.51,-400,360,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.09,0.575,0.51,-400,340,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.09,0.575,0.51,-400,320,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.09,0.575,0.51,-400,300,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.09,0.575,0.51,-400,280,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.12,0.575,0.5,-375,320,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.12,0.575,0.5,-375,300,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.12,0.575,0.5,-375,280,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.12,0.575,0.5,-325,400,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.12,0.575,0.5,-300,380,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.12,0.575,0.5,-300,400,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.14,0.575,0.5,-350,340,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.14,0.575,0.5,-350,360,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.14,0.575,0.5,-350,380,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.12,0.575,0.5,-325,260,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.12,0.575,0.5,-325,280,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.12,0.575,0.5,-325,300,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.12,0.575,0.5,-325,320,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.12,0.575,0.5,-325,340,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.12,0.575,0.5,-325,360,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.12,0.575,0.5,-325,380,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.14,0.575,0.5,-350,400,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.12,0.575,0.5,-375,260,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.14,0.575,0.5,-375,260,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.14,0.575,0.5,-375,280,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.12,0.575,0.5,-350,260,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.12,0.575,0.5,-350,300,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.12,0.575,0.5,-350,320,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.12,0.575,0.5,-350,340,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.12,0.575,0.5,-350,360,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.12,0.575,0.5,-350,380,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.12,0.575,0.5,-350,400,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.14,0.575,0.5,-375,300,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.14,0.575,0.5,-375,320,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.14,0.575,0.5,-375,340,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.12,0.575,0.51,-400,320,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.12,0.575,0.51,-400,340,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.12,0.575,0.51,-400,360,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.11,0.575,0.51,-375,280,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.11,0.575,0.51,-325,360,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.11,0.575,0.51,-325,380,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.11,0.575,0.51,-325,400,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.11,0.575,0.51,-350,260,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.11,0.575,0.51,-350,280,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
0.11,0.575,0.51,-350,300,18,13,5,-2.9917559432954803,-16.62086635164156,50.0,49.7255756902435
